OrderID,OrderDate,Region,Category,Product,UnitPrice,Quantity,DiscountPct,Sales,Cost,Profit,CustomerAge,Rating,PaymentMethod
ORD10064,2024-01-01,East,Home & Kitchen,Blender,190.97,6,0,1145.82,796.7,349.12,18,5.0,Credit Card
ORD11117,2024-01-01,West,Beauty,Skincare Kit,96.65,7,0,676.55,513.62,162.93,26,4.1,Debit Card
ORD10729,2024-01-01,North,Electronics,Tablet,296.52,6,0,1779.12,1286.24,492.88,47,4.3,Debit Card
ORD10806,2024-01-01,Central,Clothing,Dress,89.05,4,10,356.2,253.9,102.3,41,4.2,Credit Card
ORD11505,2024-01-02,West,Beauty,Perfume,84.3,5,0,421.5,288.7,132.8,18,4.8,Cash
ORD11219,2024-01-02,North,Electronics,Tablet,247.09,5,0,1235.45,822.09,413.36,27,3.6,UPI
ORD10953,2024-01-02,West,Electronics,Laptop,865.74,3,5,2597.22,1822.75,774.47,18,3.3,Debit Card
ORD10139,2024-01-03,West,Home & Kitchen,Cookware Set,171.86,2,0,343.72,230.22,113.5,18,3.5,Debit Card
ORD11173,2024-01-03,West,Sports,Bicycle,196.24,4,0,784.96,456.56,328.4,43,5.0,Wallet
ORD11339,2024-01-03,South,Sports,Yoga Mat,132.07,3,5,396.21,298.03,98.18,35,4.3,Credit Card
ORD10361,2024-01-04,North,Home & Kitchen,Cookware Set,235.08,6,10,1410.48,864.33,546.15,18,5.0,Credit Card
ORD10376,2024-01-04,East,Electronics,Headphones,747.64,7,0,5233.48,3949.16,1284.32,26,3.6,UPI
ORD11165,2024-01-04,Central,Clothing,Jeans,107.97,5,5,539.85,410.58,129.27,34,4.1,Debit Card
ORD10866,2024-01-04,West,Sports,Bicycle,330.81,2,10,661.62,467.51,194.11,40,4.2,Debit Card
ORD10643,2024-01-04,West,Electronics,Headphones,1098.35,6,15,6590.1,4303.25,2286.85,48,5.0,Credit Card
ORD10968,2024-01-05,Central,Sports,Tennis Racket,206.4,5,5,1032.0,734.37,297.63,35,5.0,Debit Card
ORD10048,2024-01-05,East,Beauty,Skincare Kit,11.74,1,5,11.74,8.74,3.0,52,3.8,Cash
ORD11134,2024-01-05,North,Beauty,Perfume,116.3,1,15,116.3,64.33,51.97,47,3.1,Credit Card
ORD11597,2024-01-06,North,Clothing,Jacket,10.45,5,5,52.25,39.31,12.94,52,3.6,Debit Card
ORD11709,2024-01-06,East,Electronics,Tablet,796.41,5,0,3982.05,2691.76,1290.29,50,3.3,Credit Card
ORD10583,2024-01-06,East,Electronics,Smartwatch,282.23,5,10,1411.15,974.63,436.52,43,3.6,Debit Card
ORD11615,2024-01-06,West,Sports,Running Shoes,301.44,1,0,301.44,234.98,66.46,42,3.5,Credit Card
ORD10107,2024-01-07,West,Sports,Running Shoes,354.43,5,0,1772.15,1360.94,411.21,36,4.1,Credit Card
ORD11225,2024-01-07,West,Electronics,Smartwatch,294.39,1,0,294.39,185.38,109.01,30,3.5,Debit Card
ORD11115,2024-01-07,North,Clothing,Jacket,12.1,7,0,84.7,48.71,35.99,43,4.0,Wallet
ORD10578,2024-01-07,North,Home & Kitchen,Cookware Set,218.02,4,0,872.08,656.1,215.98,18,4.2,Debit Card
ORD11328,2024-01-07,North,Sports,Running Shoes,38.4,3,0,115.2,76.46,38.74,28,5.0,Cash
ORD10590,2024-01-07,North,Electronics,Headphones,102.78,7,5,719.46,535.26,184.2,34,4.6,Wallet
ORD10081,2024-01-08,Central,Beauty,Skincare Kit,11.85,7,0,82.95,50.89,32.06,36,5.0,Credit Card
ORD10896,2024-01-08,North,Electronics,Smartwatch,857.67,5,0,4288.35,3327.12,961.23,37,4.4,UPI
ORD11350,2024-01-08,East,Beauty,Perfume,136.75,7,15,957.25,613.02,344.23,37,4.6,UPI
ORD11463,2024-01-09,North,Home & Kitchen,Lamp,36.97,2,0,73.94,44.76,29.18,19,5.0,UPI
ORD11699,2024-01-09,North,Electronics,Headphones,1150.07,7,5,8050.49,5778.9,2271.59,25,3.9,UPI
ORD11662,2024-01-10,East,Home & Kitchen,Air Fryer,278.39,6,5,1670.34,985.05,685.29,39,4.8,Wallet
ORD11303,2024-01-10,East,Electronics,Laptop,387.18,6,0,2323.08,1569.71,753.37,40,3.4,Credit Card
ORD11614,2024-01-10,West,Clothing,Jacket,95.91,4,5,383.64,262.86,120.78,18,3.1,Cash
ORD11381,2024-01-10,North,Electronics,Tablet,894.44,4,10,3577.76,2793.87,783.89,25,4.9,Credit Card
ORD11156,2024-01-10,East,Clothing,Jacket,60.46,1,15,60.46,41.08,19.38,41,3.5,Credit Card
ORD10328,2024-01-11,West,Beauty,Skincare Kit,88.0,6,5,528.0,308.5,219.5,35,3.5,UPI
ORD11020,2024-01-11,Central,Clothing,Jeans,16.39,3,20,49.17,38.18,10.99,25,3.4,Debit Card
ORD11814,2024-01-11,Central,Clothing,Jacket,57.84,2,15,115.68,73.22,42.46,47,4.2,Debit Card
ORD10860,2024-01-11,East,Beauty,Hair Dryer,134.42,4,0,537.68,330.15,207.53,30,4.3,Credit Card
ORD10408,2024-01-12,North,Home & Kitchen,Blender,295.53,4,5,1182.12,686.6,495.52,19,3.8,Wallet
ORD10750,2024-01-12,Central,Electronics,Smartphone,803.83,4,0,3215.32,2088.06,1127.26,18,4.1,Debit Card
ORD11853,2024-01-12,South,Beauty,Skincare Kit,131.57,6,0,789.42,538.9,250.52,51,3.7,Credit Card
ORD10252,2024-01-12,North,Clothing,Jeans,10.15,3,5,30.45,21.79,8.66,44,4.4,Debit Card
ORD10178,2024-01-12,West,Electronics,Laptop,910.14,6,10,5460.84,4026.75,1434.09,44,4.9,Cash
ORD10903,2024-01-13,Central,Electronics,Smartphone,1157.08,2,0,2314.16,1437.98,876.18,30,4.9,Wallet
ORD11870,2024-01-13,Central,Electronics,Headphones,85.45,6,0,512.7,288.84,223.86,18,4.7,Credit Card
ORD10233,2024-01-13,East,Electronics,Headphones,1167.55,5,0,5837.75,4562.76,1274.99,32,5.0,UPI
ORD11909,2024-01-13,East,Electronics,Tablet,1193.65,2,10,2387.3,1834.58,552.72,37,4.1,UPI
ORD11236,2024-01-14,East,Clothing,Sneakers,89.16,5,0,445.8,290.27,155.53,18,4.3,Credit Card
ORD10122,2024-01-14,North,Clothing,Jacket,18.98,6,10,113.88,79.52,34.36,29,5.0,Credit Card
ORD10435,2024-01-14,South,Clothing,Dress,118.1,6,5,708.6,473.7,234.9,48,4.3,Debit Card
ORD10932,2024-01-14,West,Sports,Bicycle,360.54,2,0,721.08,475.1,245.98,45,4.9,Credit Card
ORD10925,2024-01-15,North,Electronics,Smartwatch,554.69,5,5,2773.45,2128.56,644.89,62,4.6,Credit Card
ORD10071,2024-01-15,East,Home & Kitchen,Air Fryer,243.24,5,5,1216.2,816.79,399.41,58,5.0,UPI
ORD10529,2024-01-16,Central,Beauty,Makeup Kit,115.03,3,0,345.09,209.89,135.2,55,4.7,UPI
ORD10828,2024-01-16,South,Beauty,Perfume,58.58,6,5,351.48,198.67,152.81,30,3.5,Debit Card
ORD11638,2024-01-16,North,Sports,Bicycle,329.04,4,0,1316.16,979.42,336.74,39,3.7,Debit Card
ORD11641,2024-01-16,East,Home & Kitchen,Air Fryer,228.97,6,0,1373.82,964.0,409.82,35,3.5,Debit Card
ORD10094,2024-01-16,North,Electronics,Laptop,1114.78,7,5,7803.46,5376.21,2427.25,30,3.8,UPI
ORD11832,2024-01-16,West,Electronics,Smartphone,1112.49,6,5,6674.94,4510.64,2164.3,31,4.9,Debit Card
ORD10447,2024-01-16,West,Clothing,Sneakers,27.59,3,0,82.77,60.03,22.74,32,5.0,UPI
ORD11282,2024-01-17,Central,Electronics,Smartphone,182.38,4,10,729.52,545.44,184.08,24,3.4,Credit Card
ORD11705,2024-01-17,South,Sports,Dumbbell Set,139.97,2,15,279.94,168.91,111.03,27,3.9,UPI
ORD10997,2024-01-17,North,Electronics,Laptop,1179.53,6,5,7077.18,4934.94,2142.24,40,5.0,Credit Card
ORD10564,2024-01-17,East,Electronics,Laptop,1106.26,6,5,6637.56,4968.14,1669.42,31,3.8,Credit Card
ORD11621,2024-01-18,North,Home & Kitchen,Cookware Set,264.03,1,5,264.03,166.17,97.86,26,4.4,Credit Card
ORD11568,2024-01-18,South,Clothing,Dress,51.66,1,10,51.66,35.0,16.66,27,4.2,Credit Card
ORD11014,2024-01-18,North,Electronics,Smartwatch,152.09,4,0,608.36,396.22,212.14,41,5.0,UPI
ORD10989,2024-01-19,Central,Home & Kitchen,Lamp,59.22,5,10,296.1,206.83,89.27,29,3.4,Wallet
ORD11828,2024-01-19,East,Electronics,Laptop,712.78,3,10,2138.34,1236.07,902.27,38,3.5,Credit Card
ORD11168,2024-01-20,East,Home & Kitchen,Blender,225.4,4,0,901.6,526.19,375.41,53,4.9,Debit Card
ORD11741,2024-01-21,West,Sports,Running Shoes,327.28,1,5,327.28,238.36,88.92,32,4.1,Debit Card
ORD11005,2024-01-21,North,Home & Kitchen,Blender,261.58,5,0,1307.9,976.56,331.34,37,4.1,Credit Card
ORD10293,2024-01-21,North,Electronics,Tablet,911.33,3,10,2733.99,2060.15,673.84,27,4.0,Credit Card
ORD10902,2024-01-21,North,Sports,Running Shoes,178.62,2,0,357.24,281.15,76.09,36,3.0,Debit Card
ORD10573,2024-01-21,West,Sports,Bicycle,302.07,7,10,2114.49,1234.89,879.6,25,3.9,Credit Card
ORD10700,2024-01-21,South,Home & Kitchen,Lamp,53.4,7,5,373.8,219.48,154.32,34,3.9,Credit Card
ORD10420,2024-01-21,East,Clothing,T-Shirt,56.91,1,0,56.91,32.46,24.45,19,4.2,Credit Card
ORD10517,2024-01-21,West,Beauty,Hair Dryer,65.92,6,0,395.52,314.0,81.52,47,4.5,UPI
ORD11878,2024-01-22,East,Electronics,Headphones,823.21,7,0,5762.47,4448.86,1313.61,44,3.9,Debit Card
ORD10710,2024-01-23,West,Clothing,Jacket,111.43,2,0,222.86,157.3,65.56,30,4.2,Credit Card
ORD11920,2024-01-23,Central,Beauty,Perfume,137.86,4,10,551.44,433.39,118.05,40,4.7,UPI
ORD10068,2024-01-23,East,Sports,Running Shoes,183.92,1,15,183.92,111.83,72.09,18,4.7,Wallet
ORD11204,2024-01-23,Central,Sports,Tennis Racket,251.1,6,5,1506.6,994.56,512.04,41,4.9,Debit Card
ORD10592,2024-01-23,West,Electronics,Laptop,1126.5,6,0,6759.0,4071.2,2687.8,41,4.6,Wallet
ORD11060,2024-01-23,East,Home & Kitchen,Lamp,91.09,7,0,637.63,467.55,170.08,33,4.8,Wallet
ORD11073,2024-01-24,East,Beauty,Skincare Kit,108.56,2,0,217.12,143.95,73.17,25,4.2,Credit Card
ORD10940,2024-01-24,North,Beauty,Skincare Kit,78.58,6,0,471.48,308.36,163.12,36,3.8,Credit Card
ORD10419,2024-01-25,East,Home & Kitchen,Cookware Set,229.96,3,0,689.88,423.54,266.34,30,4.0,UPI
ORD11812,2024-01-25,Central,Electronics,Laptop,201.01,2,0,402.02,321.42,80.6,30,4.0,Debit Card
ORD10302,2024-01-25,South,Home & Kitchen,Cookware Set,224.77,1,10,224.77,153.72,71.05,39,4.4,Debit Card
ORD10039,2024-01-25,South,Electronics,Tablet,691.22,5,10,3456.1,2550.93,905.17,34,3.8,Debit Card
ORD10873,2024-01-25,East,Electronics,Laptop,537.94,4,10,2151.76,1220.8,930.96,43,3.8,UPI
ORD10493,2024-01-25,East,Beauty,Makeup Kit,144.16,5,0,720.8,500.93,219.87,18,3.8,Wallet
ORD10542,2024-01-26,Central,Sports,Running Shoes,259.45,5,0,1297.25,825.3,471.95,45,3.6,Wallet
ORD11345,2024-01-27,West,Beauty,Shampoo,145.92,7,5,1021.44,697.65,323.79,50,5.0,Credit Card
ORD11696,2024-01-28,South,Electronics,Headphones,497.45,4,0,1989.8,1518.53,471.27,33,5.0,UPI
ORD10957,2024-01-28,Central,Home & Kitchen,Vacuum Cleaner,154.47,4,5,617.88,347.34,270.54,50,4.4,Wallet
ORD10946,2024-01-28,East,Clothing,Sneakers,55.88,4,5,223.52,143.4,80.12,22,4.1,Cash
ORD10980,2024-01-28,East,Clothing,T-Shirt,68.76,6,0,412.56,329.24,83.32,33,4.3,Cash
ORD11481,2024-01-28,West,Electronics,Smartphone,557.1,5,0,2785.5,1942.43,843.07,18,4.4,Credit Card
ORD11777,2024-01-28,North,Clothing,Sneakers,65.08,5,10,325.4,212.21,113.19,40,3.1,UPI
ORD11826,2024-01-28,East,Clothing,Jacket,41.87,5,10,209.35,150.43,58.92,56,3.6,Credit Card
ORD10803,2024-01-29,West,Beauty,Makeup Kit,10.13,5,10,50.65,29.15,21.5,35,4.3,UPI
ORD10041,2024-01-29,North,Sports,Dumbbell Set,47.66,3,15,142.98,99.42,43.56,40,4.0,Wallet
ORD11286,2024-01-29,South,Home & Kitchen,Air Fryer,284.03,5,0,1420.15,993.75,426.4,34,3.7,Credit Card
ORD11307,2024-01-29,North,Electronics,Laptop,689.17,6,0,4135.02,2350.36,1784.66,32,3.8,Credit Card
ORD11939,2024-01-30,South,Clothing,T-Shirt,47.84,6,10,287.04,196.18,90.86,52,4.9,Wallet
ORD10378,2024-01-30,East,Home & Kitchen,Cookware Set,125.87,4,0,503.48,373.66,129.82,44,3.6,UPI
ORD11360,2024-01-31,East,Clothing,Dress,25.49,3,5,76.47,50.94,25.53,24,3.5,UPI
ORD11487,2024-01-31,North,Electronics,Laptop,313.15,2,10,626.3,357.16,269.14,29,4.7,UPI
ORD11906,2024-02-01,Central,Sports,Bicycle,161.89,6,0,971.34,611.46,359.88,43,4.7,Credit Card
ORD10961,2024-02-02,North,Clothing,Sneakers,30.99,6,0,185.94,139.48,46.46,30,5.0,Wallet
